part_num,name,part_cat_id,part_material
02889pr0001,"Animal, Dog, Small (Puppy), Alsatian / German Shepherd (Police Dog) with Black Eyes and Dark Brown Muzzle Print",28,Plastic
02889pr0002,"Animal, Dog, Small (Puppy), Alsatian / German Shepherd with Light Bluish Grey Snout, Black Nose, Eyes print",28,Plastic
02889pr0003,"Animal, Dog, Small (Puppy), Alsatian / German Shepherd (Police Dog) with Black Eyes and White Muzzle Print",28,Plastic
03231pr0001,"Hair and Crown, Gold, Smooth Hair with Long Front-sides",65,Plastic
03497,Sticker Sheet for Set 1589-1,58,Plastic
0439745675,"Book, Clikits Book of Friendship Fun",17,Cardboard/Paper
0687b1,Activity Booklet 1 - Set 0687,17,Plastic
08801,"Cannon, End Cap",68,Plastic
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,Plastic
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1,Plastic
0903,Baseplate 16 x 24 with Set 080 Red House Print,1,Plastic
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1,Plastic
1,Homemaker Bookcase/Cupboard 2 x 4 x 4,7,Plastic
10001119,Sticker Sheet for Set 71771-1,58,Plastic
10001120,Sticker Sheet for Set 71772-1,58,Plastic
10001121,Sticker Sheet for Set 71773-1,58,Plastic
10001123,Sticker Sheet for Set 71775-1,58,Plastic
10001416,Sticker Sheet 1 for Set 10306-1,58,Plastic
10001478,Sticker Sheet for Set 10302-1,58,Plastic
10001502,Sticker Sheet for Set 41712-1,58,Plastic
10001505,Sticker Sheet for Set 41722-1,58,Plastic
10001507,Sticker Sheet for Set 41711-1,58,Plastic
10001509,Sticker Sheet for Set 41717-1,58,Plastic
10001510,Sticker Sheet for Set 41713-1,58,Plastic
10001511,Sticker Sheet 1 for Set 41714-1,58,Plastic
10001572,Sticker Sheet for Set 75341-1,58,Plastic
10001705,Sticker Sheet 1 for Set 21335-1,58,Plastic
10001722,Sticker Sheet for Set 75342-1,58,Plastic
10001831,Sticker Sheet for Set 75324-1,58,Plastic
10001892,Sticker Sheet 1 for Set 80038-1,58,Plastic
10001913,Sticker Sheet 2 for Set 21331-1,58,Plastic
10001922,Sticker Sheet for Set 71768-1,58,Plastic
10001923,Sticker Sheet for Set 71769-1,58,Plastic
10001924,Sticker Sheet for Set 71770-1,58,Plastic
10001926,Sticker Sheet 2 for Set 80108-1,58,Plastic
100097,"Hipwear Coattails, Pointed, Shallow Cutout [Plain]",70,Cloth
10010484,Sticker Sheet for Set 4200-1,58,Plastic
10010490,Sticker Sheet for Set 4201 -1,58,Plastic
10010491,Sticker Sheet for Set 4202-1,58,Plastic
10010492,Sticker Sheet for Set 4203-1,58,Plastic
10010493,Sticker Sheet for Set 4204-1,58,Plastic
10010521,Sticker Sheet for Set 10221-1,58,Plastic
10010653,Sticker Sheet for Set 4207-1,58,Plastic
10016414,Sticker Sheet 1 for Set 41055-1,58,Plastic
10039,Pullback Motor 8 x 4 x 2/3,44,Plastic
100392,"Clouds, Yellow and Gold Trim Print [Complete Sheet]",77,Plastic
100392a,"Cloud, 3 Holes, Yellow and Gold Trim Print",77,Plastic
100392b,"Cloud, 4 Holes, Yellow and Gold Trim Print",77,Plastic
100392c,"Cloud, 5 Holes, Gap at Top, Yellow and Gold Trim Print",77,Plastic
100392d,"Cloud, 5 Holes, Gap at Bottom, Yellow and Gold Trim Print",77,Plastic
100426,Duplo Scooter with Yellowish Green Wheels,4,Plastic
100452pat0001,"Hair and Crown, Long with Black Spiked Crown Pattern",65,Plastic
100453pr0001,"Torso with Dress, Reddish Brown Backpack, No Arms, Dark Azure/Lime Scarf, White Necklace print",60,Plastic
100453pr0002,"Torso with Dress with Robe, Orange Dress, Dark Azure Necklace, Sash print",60,Plastic
100453pr0003,"Torso with Dress, Reddish Brown Backpack, No Arms, Red Scarf, Yellow Ruffles, Necklace with Black Spider print print",60,Plastic
100456pr0001,"Minifig Head Special, NED-B, Droid, Armored with Shoulders, Chest and Backplate",59,Plastic
10048,"Hair Tousled, Mid-length",65,Plastic
10049,Shield Broad with Spiked Bottom and Cutout Corner,73,Plastic
10049pr0001,Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print,73,Plastic
10050,Weapon Sword (Uruk-hai),73,Plastic
10051,Helmet Castle with Lateral Comb [Uruk-hai],65,Plastic
10051pr0001,Helmet Castle with Lateral Comb and Handprint Print,65,Plastic
10052,"Minifig Neckwear Beard, Rounded End [Gandalf]",71,Plastic
10053,Weapon Sword Small,73,Plastic
10054,Helmet with Cheek Protection and Horsehead Comb (Rohan Style),65,Plastic
10054pr0001,Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Eomer Print,65,Plastic
10054pr0002,Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Gold Theoden Print,65,Plastic
100559pat0001pr0001,"Animal, Dog, Dachshund with Vibrant Yellow Harness Pattern, Bubble in Nose print (Pickle)",28,Plastic
100559pat0001pr0002,"Animal, Dog, Dachshund with Vibrant Yellow Harness Pattern, Black Eyes print (Pickle)",28,Plastic
100559pat0002,"Animal, Dog, Dachshund with Sand Blue Harness Pattern (Pickle)",28,Plastic
100559pat0003,"Animal, Dog, Dachshund with Red Harness Pattern (Pickle)",28,Plastic
10055pr0001,Hair Long Straight with Light Nougat Elf Ears Print,65,Plastic
100560,"Neckwear Cape, Pauldron, Tattered",71,Cloth
10056pr0001,Helmet with Cheek Protection and Dark Red Ornaments Print,65,Plastic
10057,Body / Head Gollum,13,Plastic
10057pr0001,"Body / Head Gollum, Wide Eyes Print",13,Plastic
10057pr0002,"Body / Head Gollum, Narrow Eyes Print",13,Plastic
10058,"Arm, Bent [Gollum]",60,Plastic
100588pat0001,"Creature Body Part, Dragon Head Upper Jaw with Spikes with Trans-Light Blue Pattern",75,Plastic
100588pat0001pr0001,"Creature Body Part, Dragon Head Upper Jaw with Spikes with Trans-Light Blue Pattern and Dark Blue Eyes, Medium Blue Markings print",75,Plastic
100588pat0002,"Creature Body Part, Dragon Head Upper Jaw with Spikes with Trans-Yellow Pattern",75,Plastic
100588pat0002pr0001,"Creature Body Part, Dragon Head Upper Jaw with Spikes with Trans-Yellow Pattern, Metal Blue Markings, Bright Light Yellow Eye print",75,Plastic
100588pat0002pr0002,"Creature Body Part, Dragon Head Upper Jaw with Spikes with Trans-Yellow Pattern and Dark Blue/Gold Markings print",75,Plastic
10061,"Arm, Bigfig, Left",60,Plastic
10061pr0001,"Bigfig Arm, Left with Scales Print",60,Plastic
10062,"Hand Cave Troll, Left",60,Plastic
10063,"Arm, Bigfig, Right",60,Plastic
10063pr0001,"Bigfig Arm, Right with Scales Print",60,Plastic
10064,"Hand Cave Troll, Right",60,Plastic
10065,"Minifig Neckwear Beard, Full with Braided Moustache Ends",71,Plastic
100662pat0001pr0001,"Minifig Head Special, Baby with Helmet and Airtanks, Yellow Head Pattern, Face with White Pupils print",59,Plastic
100662pat0001pr0002,"Minifig Head Special, Baby with Helmet and Airtanks, Yellow Head Pattern, Classic Face print",59,Plastic
10066310,Sticker Sheet for Set 80037-1,58,Plastic
10066pr0001,"Hair, Orc Ears, Dark Tan Print",65,Plastic
10066pr0002,"Hair, Orc Ears, Olive Green Print",65,Plastic
10066pr0003,"Hair, Orc Ears, Medium Nougat Print",65,Plastic
10068783,Sticker Sheet 2 for Set 80038-1,58,Plastic
10068823,Sticker Sheet 2 for Set 80039-1,58,Plastic
10068837,Sticker Sheet for Set 76210-1,58,Plastic
10068838,Sticker Sheet 1 for Set 43205-1,58,Plastic
10068839,Sticker Sheet for Set 43206-1,58,Plastic
10068840,Sticker Sheet for Set 60335-1,58,Plastic
10068843,Sticker Sheet for Set 60336-1,58,Plastic
10068844,Sticker Sheet for Set 60337-1,58,Plastic
10068853,Sticker Sheet for Set 910001-1,58,Plastic
10068856,Sticker Sheet for Set 910016-1,58,Plastic
10068859,Sticker Sheet for Set 76211-1,58,Plastic
10069000,Sticker Sheet for Set 76956-1,58,Plastic
10069221,Sticker Sheet 2 for Set 10300-1,58,Plastic
10069879,Sticker Sheet for Set 77012-1,58,Plastic
10069881,Sticker Sheet for Set 60345-1,58,Plastic
100728,Flag 8 x 3 Wave with Blue Lion on Yellow Background Print,38,Plastic
100729,Wheel Cover Thin Spoke and Spinner,29,Plastic
100731,Flag 8 x 5 Wave with Yellow Lion Head on Blue Background Print,38,Plastic
10073602,Sticker Sheet 2 for Set 40556-1,58,Plastic
10073628,Sticker Sheet 1 for Set 40556-1,58,Plastic
10075764,Sticker Sheet for Set 77013-1,58,Plastic
10075cdb01,Backdrop for Set 10075 Spider-Man Action Pack,77,Cardboard/Paper
10077401,Sticker Sheet for Set 77015-1,58,Plastic
10077406,Sticker Sheet for Set 40533-1,58,Plastic
10077536,Sticker Sheet for Set 40542-1,58,Plastic
10077544,Sticker Sheet 2 for Set 41714-1,58,Plastic
